region,country_code,type,parent_code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020
Chad,148,Country/Area,911,6.1,6.2,6.3,6.4,6.67,6.87,7.04,7.21,7.39,7.41,7.24,6.85,6.31,5.8
Congo,178,Country/Area,911,5.68,5.79,5.99,6.19,6.3,6.25,5.8,5.3,5,4.9,4.85,4.8,4.7,4.45
Democratic Republic of the Congo,180,Country/Area,911,5.98,5.98,6.04,6.15,6.29,6.46,6.6,6.71,6.77,6.77,6.72,6.63,6.4,5.96
Equatorial Guinea,226,Country/Area,911,5.67,5.65,5.67,5.79,5.8,5.79,5.89,5.98,5.97,5.94,5.69,5.4,4.99,4.55
Gabon,266,Country/Area,911,3.99,4.2,4.59,4.93,5.23,5.57,5.72,5.58,5.25,4.77,4.35,4.2,4.1,4
Sao Tome and Principe,678,Country/Area,911,6.2,6.2,6.3,6.4,6.52,6.5,6.24,5.96,5.68,5.3,5.08,4.85,4.6,4.35
Southern Africa,913,Subregion,947,6.06,6.07,6.03,5.86,5.6,5.19,5.02,4.49,3.63,3,2.72,2.71,2.64,2.5
Botswana,72,Country/Area,913,6.5,6.58,6.65,6.7,6.55,6.35,5.95,4.9,4.13,3.49,3.19,3.03,3.01,2.89
Eswatini,748,Country/Area,913,6.7,6.7,6.81,6.85,6.87,6.73,6.57,5.49,4.78,4.14,3.76,3.56,3.14,3.03
Lesotho,426,Country/Area,913,5.84,5.86,5.81,5.8,5.8,5.69,5.42,4.98,4.46,3.96,3.66,3.37,3.26,3.16
Namibia,516,Country/Area,913,6,6.1,6.2,6.3,6.6,6.46,6.2,5.55,4.89,4.26,3.6,3.61,3.63,3.42
South Africa,710,Country/Area,913,6.05,6.05,6,5.8,5.5,5.05,4.9,4.4,3.51,2.88,2.61,2.63,2.55,2.41
Western Africa,914,Subregion,947,6.43,6.49,6.56,6.63,6.8,6.9,6.86,6.66,6.4,6.15,5.95,5.74,5.52,5.18
Benin,204,Country/Area,914,5.86,6.13,6.42,6.65,6.83,7,7.01,6.88,6.56,6.16,5.78,5.49,5.22,4.87
Burkina Faso,854,Country/Area,914,6.1,6.24,6.35,6.56,6.7,7.02,7.17,7.07,6.93,6.73,6.43,6.08,5.65,5.23
Cabo Verde,132,Country/Area,914,6.57,6.76,6.97,6.97,6.86,6.62,6.1,5.63,5.05,3.94,3.23,2.71,2.5,2.29
Côte d'Ivoire,384,Country/Area,914,7.45,7.62,7.76,7.9,7.93,7.81,7.31,6.85,6.41,6.05,5.68,5.25,4.95,4.68
Gambia,270,Country/Area,914,6.35,6.3,6.2,6.2,6.2,6.4,6.3,6.15,6.05,5.95,5.8,5.65,5.5,5.25
Ghana,288,Country/Area,914,6.44,6.64,6.84,6.95,6.9,6.69,6.35,5.88,5.34,5.02,4.64,4.37,4.18,3.89
Guinea,324,Country/Area,914,6,6.07,6.15,6.21,6.29,6.45,6.59,6.63,6.51,6.24,5.91,5.54,5.13,4.74
Guinea-Bissau,624,Country/Area,914,5.9,5.9,5.95,6,6.1,6.25,6.7,6.68,6.5,6.05,5.6,5.2,4.9,4.51
Liberia,430,Country/Area,914,6.27,6.35,6.47,6.59,6.8,6.93,6.96,6.72,6.27,6.05,5.65,5.2,4.75,4.35
Mali,466,Country/Area,914,6.95,6.95,7,7.1,7.15,7.15,7.15,7.15,7.15,6.95,6.85,6.7,6.35,5.92
Mauritania,478,Country/Area,914,6.34,6.71,6.79,6.79,6.75,6.57,6.3,6.05,5.72,5.52,5.3,5.07,4.88,4.59
Niger,562,Country/Area,914,7.3,7.4,7.5,7.55,7.6,7.75,7.9,7.8,7.75,7.7,7.65,7.55,7.35,6.95
Nigeria,566,Country/Area,914,6.35,6.35,6.35,6.35,6.61,6.76,6.76,6.6,6.37,6.17,6.05,5.91,5.74,5.42
Senegal,686,Country/Area,914,6.8,6.9,7.1,7.25,7.25,7.25,7.25,6.7,6.2,5.7,5.25,5.1,5,4.65
